"level","strength","dexterity","bleeding","posture","constitution","evasion","intellect","charisma","wisdom"
"0","(6,1)","(3,1)","(1,5)","(0,0)","(0,0)","(0,0)","(0,0)","(0,0)","(0,0)"
"1","(8,1)","(8,6)","(4,7)","(0,0)","(0,0)","(0,0)","(0,0)","(0,0)","(0,0)"
"2","(15,5)","(8,8)","(7,8)","(0,0)","(0,0)","(0,0)","(0,0)","(0,0)","(0,0)"
"3","(15,5)","(8,8)","(7,8)","(10,7)","(0,0)","(0,0)","(0,0)","(0,0)","(0,0)"
"4","(20,10)","(10,10)","(10,8)","(10,7)","(0,0)","(0,0)","(0,0)","(0,0)","(0,0)"
"5","(25,11)","(15,11)","(10,10)","(10,10)","(0,0)","(0,0)","(0,0)","(0,0)","(0,0)"
"6","(30,11)","(15,11)","(15,10)","(10,17)","(0,0)","(0,0)","(0,0)","(0,0)","(0,0)"
"7","(30,11)","(25,11)","(15,17)","(10,17)","(0,0)","(0,0)","(0,0)","(0,0)","(0,0)"
"8","(30,11)","(25,18)","(15,17)","(20,17)","(0,0)","(0,0)","(0,0)","(0,0)","(0,0)"
"9","(30,18)","(25,18)","(15,17)","(30,17)","(0,0)","(0,0)","(0,0)","(0,0)","(0,0)"
