"level","strength","dexterity","bleeding","posture","constitution","evasion","intellect","charisma","wisdom"
"0","(0,0)","(7,0)","(0,0)","(0,0)","(0,0)","(-7,0)","(0,0)","(10,7)","(0,0)"
"1","(0,0)","(12,0)","(0,0)","(0,0)","(0,0)","(-7,0)","(0,0)","(15,14)","(0,0)"
"2","(0,0)","(12,0)","(0,0)","(0,0)","(0,0)","(-7,0)","(10,0)","(15,21)","(0,0)"
"3","(0,0)","(12,0)","(0,0)","(0,0)","(0,0)","(-7,0)","(10,0)","(25,28)","(0,0)"
"4","(0,0)","(12,0)","(10,0)","(0,0)","(0,0)","(-17,0)","(10,0)","(35,35)","(0,0)"
"5","(0,0)","(17,0)","(10,0)","(0,0)","(0,0)","(-17,0)","(10,0)","(40,42)","(0,0)"
"6","(0,0)","(17,0)","(10,0)","(0,0)","(0,0)","(-17,0)","(20,0)","(40,49)","(0,0)"
"7","(0,0)","(17,0)","(20,0)","(0,0)","(-10,0)","(-17,0)","(20,0)","(50,56)","(0,0)"
"8","(0,0)","(17,0)","(30,0)","(-10,0)","(-10,0)","(-17,0)","(25,0)","(55,63)","(0,0)"
"9","(0,0)","(17,0)","(30,0)","(-10,0)","(-10,0)","(-17,0)","(25,0)","(65,70)","(0,0)"
