"level","strength","dexterity","bleeding","posture","constitution","evasion","intellect","charisma","wisdom"
"0","(0,1)","(5,3)","(0,0)","(5,3)","(0,0)","(0,0)","(0,0)","(0,0)","(0,0)"
"1","(1,0)","(10,10)","(0,0)","(9,3)","(0,0)","(0,0)","(0,0)","(0,0)","(0,0)"
"2","(1,7)","(15,10)","(5,0)","(9,3)","(0,0)","(0,0)","(0,0)","(0,0)","(0,0)"
"3","(1,7)","(20,17)","(5,0)","(14,3)","(0,0)","(0,0)","(0,0)","(0,0)","(0,0)"
"4","(6,7)","(20,17)","(5,0)","(19,10)","(0,0)","(0,0)","(0,0)","(0,0)","(0,0)"
"5","(6,7)","(30,20)","(5,0)","(19,14)","(0,0)","(0,0)","(0,0)","(0,0)","(0,0)"
"6","(6,7)","(35,27)","(10,0)","(19,14)","(0,0)","(0,0)","(0,0)","(0,0)","(0,0)"
"7","(6,14)","(40,27)","(10,0)","(24,14)","(0,0)","(0,0)","(0,0)","(0,0)","(0,0)"
"8","(11,21)","(40,27)","(10,0)","(29,14)","(0,0)","(0,0)","(0,0)","(0,0)","(0,0)"
"9","(11,21)","(50,27)","(10,0)","(29,21)","(0,0)","(0,0)","(0,0)","(0,0)","(0,0)"
