"level","strength","dexterity","bleeding","posture","constitution","evasion","intellect","charisma","wisdom"
"0","(0,0)","(0,0)","(3,2)","(0,0)","(0,0)","(0,0)","(9,5)","(0,0)","(-2,0)"
"1","(0,0)","(0,0)","(6,7)","(-3,0)","(0,0)","(0,0)","(19,7)","(0,0)","(-2,0)"
"2","(0,0)","(4,7)","(6,7)","(-3,0)","(0,0)","(0,0)","(25,7)","(0,0)","(-2,0)"
"3","(3,0)","(4,14)","(10,7)","(-3,0)","(0,0)","(-3,0)","(31,7)","(0,0)","(-2,0)"
"4","(3,0)","(4,14)","(11,7)","(-3,0)","(0,0)","(-3,0)","(40,14)","(0,0)","(-2,0)"
"5","(10,0)","(4,14)","(11,14)","(-3,0)","(0,0)","(-3,0)","(43,14)","(0,0)","(-2,0)"
"6","(10,0)","(14,14)","(11,14)","(-3,0)","(-10,0)","(-3,0)","(53,14)","(0,7)","(-2,0)"
"7","(10,0)","(24,14)","(11,14)","(-3,0)","(-10,0)","(-3,0)","(53,14)","(0,14)","(-2,0)"
"8","(10,0)","(34,14)","(11,21)","(-13,0)","(-10,0)","(-3,0)","(63,14)","(0,14)","(-2,0)"
"9","(10,-7)","(34,14)","(11,21)","(-13,0)","(-10,0)","(-3,0)","(63,28)","(0,14)","(-2,0)"
